ra,dec,petroR90_g,objid,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
241.8291627,-0.443972125,9.176801,1.23767E+18,20,0,0.850000024,0.050000001,0.100000001,0,0
242.2747019,-0.574642012,7.488507,1.23767E+18,32,0.030999999,0.906000018,0,0.061999999,0,0
244.4967906,-0.498397857,9.585689,1.23765E+18,23,0,1,0,0,0,0
248.1203905,-0.478861314,8.626705,1.23766E+18,40,0.075000003,0.800000012,0,0.100000001,0,0.025
238.7367181,-0.209378153,11.26563,1.23765E+18,37,0,0.94599998,0.054000001,0,0,0
244.8755901,-0.038526248,12.03977,1.23765E+18,35,0,0.971000016,0.028999999,0,0,0
247.4249909,-0.167081729,8.830544,1.23766E+18,52,0.037999999,0.808000028,0.018999999,0.057999998,0.018999999,0.057999998
247.5308075,-0.19345987,9.340035,1.23766E+18,31,0.032000002,0.935000002,0,0,0,0.032000002
236.7567472,0.400791426,5.37405,1.23765E+18,35,0.028999999,0.828999996,0,0.086000003,0.028999999,0.028999999
237.1744861,0.270433612,14.87517,1.23765E+18,22,0.045000002,0.954999983,0,0,0,0
240.4984662,0.319765267,9.265122,1.23767E+18,22,0,0.818000019,0,0.181999996,0,0
244.1814954,0.246476549,36.0243,1.23766E+18,27,0,0.963,0.037,0,0,0
244.6345046,0.247021609,8.967483,1.23766E+18,69,0.071999997,0.884000003,0,0.014,0.014,0.014
244.6625603,0.367732203,6.642565,1.23765E+18,31,0,0.967999995,0.032000002,0,0,0
246.8752771,0.309416919,7.690673,1.23766E+18,41,0.048999999,0.926999986,0,0,0,0.024
247.7449405,0.272248669,8.357677,1.23766E+18,44,0,0.931999981,0.023,0.023,0,0.023
248.8505907,0.310302625,7.346698,1.23766E+18,26,0,0.962000012,0,0.037999999,0,0
242.6735258,0.645629408,9.314487,1.23765E+18,26,0.037999999,0.922999978,0,0.037999999,0,0
208.2269222,-1.114612024,84.1786,1.23765E+18,31,0,1,0,0,0,0
212.0338737,-0.827269006,8.466954,1.23765E+18,55,0.090999998,0.873000026,0,0.035999998,0,0
229.4180036,-0.711538706,5.379931,1.23765E+18,63,0.079000004,0.841000021,0.016000001,0.048,0.016000001,0
237.2678961,-0.673174956,9.929414,1.23766E+18,27,0,1,0,0,0,0
177.9103648,-0.251445544,9.901791,1.23767E+18,45,0.044,0.843999982,0,0,0,0.111000001
207.0625224,-0.39470168,4.590503,1.23765E+18,32,0,0.906000018,0.093999997,0,0,0
220.0479426,-0.288973419,51.23676,1.23765E+18,55,0,0.944999993,0,0.017999999,0.035999998,0
238.6983285,-0.315387582,8.989979,1.23765E+18,55,0,0.944999993,0.017999999,0.017999999,0.017999999,0
241.8439166,-0.379687271,15.72531,1.23765E+18,52,0.077,0.86500001,0,0.057999998,0,0
247.6434212,-0.213186499,7.505347,1.23765E+18,38,0,0.921000004,0,0,0.079000004,0
205.0504486,0.006441794,6.40491,1.23765E+18,32,0.093999997,0.843999982,0,0.061999999,0,0
222.5155131,0.097494535,16.93097,1.23765E+18,26,0,1,0,0,0,0
229.1430195,0.111120119,8.728976,1.23765E+18,34,0,1,0,0,0,0
230.7144441,0.031286352,7.088642,1.23765E+18,66,0.015,0.818000019,0,0.061000001,0,0.105999999
241.817919,0.025575159,10.2413,1.23765E+18,43,0,1,0,0,0,0
244.1570179,0.101294962,10.14465,1.23765E+18,51,0.039000001,0.940999985,0,0,0.02,0
200.0440956,0.441483587,11.7131,1.23765E+18,49,0,1,0,0,0,0
221.7667332,0.479062035,17.85002,1.23765E+18,29,0.068999998,0.897000015,0,0.034000002,0,0
233.2697617,0.55627568,23.29073,1.23765E+18,57,0.017999999,0.930000007,0,0.052999999,0,0
238.9769264,0.592232623,12.96116,1.23765E+18,54,0.018999999,0.963,0,0,0.018999999,0
244.4814401,0.583048551,6.055604,1.23765E+18,22,0.090999998,0.818000019,0,0.090999998,0,0
244.8632834,0.506586279,10.95194,1.23765E+18,33,0,0.93900001,0.029999999,0,0,0.029999999
223.2964168,0.973161678,5.939752,1.23765E+18,62,0.048,0.887000024,0.016000001,0.032000002,0.016000001,0
17.50326165,14.7970318,6.759778,1.23767E+18,51,0.02,0.961000025,0.02,0,0,0
21.30186503,15.0123767,6.360514,1.23765E+18,59,0.034000002,0.847000003,0.050999999,0.068000004,0,0
7.10165673,14.42790487,6.980074,1.23765E+18,31,0,0.967999995,0,0,0,0.032000002
12.7664921,14.7157919,9.485957,1.23765E+18,25,0,0.920000017,0,0,0,0.079999998
19.10907118,14.48922931,11.17561,1.23765E+18,23,0,1,0,0,0,0
13.38642138,15.61250639,11.92095,1.23765E+18,43,0.023,0.930000007,0,0.046999998,0,0
30.32125521,14.33139341,5.869941,1.23765E+18,35,0,0.800000012,0.028999999,0.057,0,0.114
48.01221441,-7.921196858,10.06488,1.23765E+18,30,0.067000002,0.933000028,0,0,0,0
36.61974879,-8.724550299,9.559325,1.23765E+18,54,0.037,0.814999998,0.056000002,0.074000001,0,0.018999999
54.21879865,-5.366724119,17.34387,1.23765E+18,76,0,0.973999977,0.013,0.013,0,0
155.9853814,-3.182107603,39.83459,1.23765E+18,37,0,0.94599998,0.027000001,0,0.027000001,0
157.4792192,-3.235519405,11.83173,1.23765E+18,49,0,1,0,0,0,0
163.2451727,-3.291568403,6.053256,1.23765E+18,50,0.02,0.899999976,0,0,0.02,0.059999999
174.3441672,-3.49362047,9.171102,1.23767E+18,34,0,0.912,0,0,0.028999999,0.059
155.0370251,-2.608024258,9.786216,1.23765E+18,38,0.052999999,0.947000027,0,0,0,0
157.6285418,-2.812256987,17.40678,1.23765E+18,61,0,0.984000027,0.016000001,0,0,0
174.0932185,-2.942652388,7.233549,1.23767E+18,58,0,0.913999975,0.034000002,0.034000002,0,0.017000001
181.4362928,-3.071154842,12.92614,1.23765E+18,26,0,0.88499999,0.077,0,0,0.037999999
160.1388954,-2.451489328,6.911416,1.23765E+18,60,0.033,0.949999988,0,0,0.017000001,0
160.2129655,-2.298805802,2.76071,1.23765E+18,24,0,1,0,0,0,0
157.6118592,-1.839123379,11.55478,1.23765E+18,28,0.035999998,0.92900002,0.035999998,0,0,0
160.9128985,-2.054663083,16.5707,1.23765E+18,39,0,1,0,0,0,0
197.1803255,-2.134943794,25.10826,1.23765E+18,37,0.027000001,0.94599998,0.027000001,0,0,0
197.1803255,-2.134943794,25.10826,1.23765E+18,62,0,0.935000002,0.032000002,0,0,0.032000002
155.5280763,-1.499149977,25.34621,1.23765E+18,46,0,0.912999988,0.022,0.043000001,0,0.022
161.8771166,-1.49252163,25.4145,1.23765E+18,37,0,0.91900003,0.027000001,0.054000001,0,0
162.5284815,-1.672042483,7.514972,1.23765E+18,34,0.059,0.882000029,0,0,0.059,0
188.4923944,-1.718020893,7.715501,1.23765E+18,70,0,0.971000016,0.014,0,0,0.014
196.5926744,-1.681155085,27.48394,1.23765E+18,59,0.050999999,0.864000022,0.017000001,0.034000002,0.034000002,0
161.7168981,-1.205757334,10.16505,1.23765E+18,25,0.079999998,0.879999995,0,0.039999999,0,0
171.6755028,-1.291441273,12.96031,1.23765E+18,32,0.061999999,0.811999977,0,0.125,0,0
171.7110323,-1.321885726,8.74378,1.23765E+18,31,0,0.967999995,0.032000002,0,0,0
179.674968,-1.314095956,11.6115,1.23765E+18,27,0.037,0.925999999,0.037,0,0,0
180.2174273,-2.729075711,10.18069,1.23765E+18,29,0,0.966000021,0,0.034000002,0,0
188.9806819,-2.901804536,27.53407,1.23765E+18,37,0.027000001,0.94599998,0.027000001,0,0,0
181.2119136,-2.384656802,38.93097,1.23765E+18,62,0,1,0,0,0,0
177.2100235,-2.032233373,39.08057,1.23765E+18,34,0,0.852999985,0,0.088,0,0.059
128.912845,-0.647781474,7.998209,1.23765E+18,33,0,0.908999979,0,0,0.029999999,0.061000001
133.7284689,-0.709564044,7.011703,1.23765E+18,50,0,0.959999979,0.02,0.02,0,0
124.7193392,-0.278129377,8.256846,1.23765E+18,28,0,0.963999987,0.035999998,0,0,0
127.0112706,-0.386958849,6.976616,1.23765E+18,23,0.043000001,0.912999988,0.043000001,0,0,0
127.0260006,-0.335382056,13.22612,1.23765E+18,74,0.094999999,0.81099999,0.014,0.054000001,0.027000001,0
128.1951479,-0.329590038,12.2079,1.23765E+18,31,0.032000002,0.935000002,0,0,0,0.032000002
127.8191184,0.12806998,5.534336,1.23765E+18,20,0,0.850000024,0,0,0,0.150000006
129.5416611,0.208881519,14.16761,1.23765E+18,60,0,0.967000008,0.033,0,0,0
129.6325333,0.012417567,7.782572,1.23765E+18,64,0.016000001,0.875,0,0.030999999,0.030999999,0.046999998
130.5874016,0.161507396,9.898281,1.23765E+18,44,0.068000004,0.908999979,0,0.023,0,0
124.0166148,0.571758711,10.45029,1.23765E+18,57,0,0.947000027,0.017999999,0.017999999,0,0.017999999
152.486281,-2.851323758,9.451193,1.23765E+18,37,0,0.97299999,0,0,0,0.027000001
161.9653535,-3.051143494,10.19581,1.23765E+18,60,0,0.949999988,0,0,0,0.050000001
163.1666793,-2.976223598,7.539379,1.23765E+18,30,0,1,0,0,0,0
152.4998288,-2.46301551,22.44663,1.23765E+18,31,0,0.935000002,0,0.064999998,0,0
153.3211117,-2.531210049,11.39977,1.23765E+18,35,0,1,0,0,0,0
154.2295405,-2.494398,13.54304,1.23765E+18,38,0,0.973999977,0.026000001,0,0,0
154.9746094,-2.485485927,9.926259,1.23765E+18,21,0.094999999,0.904999971,0,0,0,0
155.1626323,-2.415407478,7.473672,1.23765E+18,29,0.034000002,0.930999994,0,0,0,0.034000002
158.0214823,-2.44046778,17.60603,1.23765E+18,26,0,0.846000016,0.077,0.077,0,0
160.2369373,-2.578804609,12.32119,1.23765E+18,41,0.024,0.853999972,0.024,0.097999997,0,0
160.2845842,-2.488105353,12.12622,1.23765E+18,28,0,0.92900002,0,0.035999998,0.035999998,0
